"trip_number","carrier","origin","destination","weeknumber","distance","cost","dispatch","arrival","equipment","cpm"
"3010023","BRICENO'S FREIGHT TRANSPORT LLC","ONT","MDW-CXIT","24","1962","2903.76","20240612 024659.000","20240613 223819.000","LTL-Fleet","1.48"
"3010022","BRICENO'S FREIGHT TRANSPORT LLC","ONT","LIT-DHRN","24","1832","2564.8","20240612 001606.000","20240613 101842.000","LTL-Fleet","1.4"
"3009953","BRICENO'S FREIGHT TRANSPORT LLC","ONT","PDZ-DLDS","24","1004","1807.2","20240611 221742.000","20240612 185502.000","LTL-Fleet","1.8"
"3009599","BRICENO'S FREIGHT TRANSPORT LLC","ONT","PDZ-DLDS","23","1004","1807.2","20240608 075553.000","20240609 032116.000","LTL-Fleet","1.8"
"3009422","BRICENO'S FREIGHT TRANSPORT LLC","MDW-CXIT","LAX","23","2003","2964.44","20240608 002500.000","20240609 160900.000","LTL-Fleet","1.48"
"3009420","BRICENO'S FREIGHT TRANSPORT LLC","MDW-CXIT","ONT","23","1962","2903.76","20240606 220900.000","20240608 075923.000","LTL-Fleet","1.48"
"3009404","BRICENO'S FREIGHT TRANSPORT LLC","ONT","PDZ-DLDS","23","1004","1807.2","20240606 234624.000","20240607 200800.000","LTL-Fleet","1.8"
"3009015","BRICENO'S FREIGHT TRANSPORT LLC","ONT","PDZ-DLDS","23","1004","1807.2","20240604 223249.000","20240605 184900.000","LTL-Fleet","1.8"
"3009012","BRICENO'S FREIGHT TRANSPORT LLC","ONT","LIT-DHRN","23","1832","2564.8","20240605 015627.000","20240606 114400.000","LTL-Fleet","1.4"
"3008915","BRICENO'S FREIGHT TRANSPORT LLC","ONT","MDW-CXIT","23","1962","2903.76","20240605 034025.000","20240606 213307.000","LTL-Fleet","1.48"
"3008557","BRICENO'S FREIGHT TRANSPORT LLC","ONT","SEA-DLDS","22","1166","2098.8","20240601 084629.000","20240602 075242.000","LTL-Fleet","1.8"
"3008817","BLACK HAWK TRUCKING INC","ONT","SYR-PYLE","23","2625","3675","20240605 040335.000","20240607 084408.000","LTL-Fleet","1.4"
"3008778","BLACK HAWK TRUCKING INC","IND-DAFG","ONT","23","2031","3087.12","20240604 111500.000","20240605 201651.000","LTL-Fleet","1.52"
"3008245","BLACK HAWK TRUCKING INC","LAX","IND-DAFG","22","2072","3149.44","20240601 225900.000","20240603 202316.000","LTL-Fleet","1.52"
"3010018","BARAHONA TRUCKING INC","ONT","EWR","24","2712","3796.8","20240611 215829.000","20240613 234511.000","LTL-Fleet","1.4"
"3009356","BARAHONA TRUCKING INC","EWR","ONT","23","2712","3796.8","20240607 023004.000","20240609 035350.000","LTL-Fleet","1.4"
"3009008","BARAHONA TRUCKING INC","ONT","EWR","23","2712","3796.8","20240605 003847.000","20240607 015315.000","LTL-Fleet","1.4"
"3009674","BANCROFT & SONS TRANSPORTATION LLC","DAL","EWR","23","1525","3400.75","20240609 062600.000","20240610 114949.000","LTL- 1way","2.23"
"3009577","BANCROFT & SONS TRANSPORTATION LLC","DAL","EWR","23","1525","3400.75","20240609 082208.000","20240610 010637.000","LTL- 1way","2.23"
"3009549","BANCROFT & SONS TRANSPORTATION LLC","EWR","HTX","23","1573","3051.62","20240608 072046.000","20240609 090500.000","LTL- 1way","1.94"
"3008513","BANCROFT & SONS TRANSPORTATION LLC","DAL","EWR","22","1525","3400.75","20240601 154544.000","20240602 201231.000","LTL- 1way","2.23"
"3008501","BANCROFT & SONS TRANSPORTATION LLC","EWR","HTX","22","1573","3051.62","20240601 091300.000","20240602 181800.000","LTL- 1way","1.94"
"3010127","AVILENO TRUCKING LLC","ONT","PDZ-DLDS","24","1004","1807.2","20240611 231050.000","20240612 191428.000","LTL-Fleet","1.8"
"3010097","AVILENO TRUCKING LLC","ONT","SYR-PYLE","24","2625","3675","20240612 011220.000","20240614 002530.000","LTL-Fleet","1.4"
"3009826","AVILENO TRUCKING LLC","ONT","OSH","24","2021","3071.92","20240611 125000.000","20240613 054044.000","LTL-Fleet","1.52"
"3009823","AVILENO TRUCKING LLC","ONT","MIA-AVRT","24","2582","3614.8","20240611 004738.000","20240613 061031.000","LTL-Fleet","1.4"
"3009818","AVILENO TRUCKING LLC","ONT","EWR","24","2712","3796.8","20240610 225134.000","20240612 233840.000","LTL-Fleet","1.4"
"3009817","AVILENO TRUCKING LLC","ONT","EWR","24","2712","3796.8","20240611 002054.000","20240613 012328.000","LTL-Fleet","1.4"
"3009626","AVILENO TRUCKING LLC","ONT","PDZ-DLDS","23","1004","1807.2","20240608 025553.000","20240609 011753.000","LTL-Fleet","1.8"
"3009597","AVILENO TRUCKING LLC","MDW-CXIT","ONT","23","1962","2903.76","20240608 003000.000","20240609 105618.000","LTL-Fleet","1.48"
"3009553","AVILENO TRUCKING LLC","ATM","ONT","23","2097","2935.8","20240608 015806.000","20240609 152659.000","LTL-Fleet","1.4"
"3009448","AVILENO TRUCKING LLC","ATB-SEFL","ONT","23","2097","2935.8","20240608 071500.000","20240610 014431.000","LTL-Fleet","1.4"
"3009358","AVILENO TRUCKING LLC","EWR","ATL","23","826","1156.4","20240607 051849.000","20240607 211746.000","LTL-Fleet","1.4"
"3009203","AVILENO TRUCKING LLC","ONT","NAS","23","1965","2751","20240606 001530.000","20240607 142224.000","LTL-Fleet","1.4"
"3009202","AVILENO TRUCKING LLC","ONT","MDW-CXIT","23","1962","2903.76","20240606 030224.000","20240607 195043.000","LTL-Fleet","1.48"
"3009181","AVILENO TRUCKING LLC","OSH","ONT","23","2021","3071.92","20240606 112900.000","20240608 020922.000","LTL-Fleet","1.52"
"3009177","AVILENO TRUCKING LLC","MIS","ONT","23","2606","3648.4","20240606 044300.000","20240608 020708.000","LTL-Fleet","1.4"
"3009138","AVILENO TRUCKING LLC","EWR","ONT","23","2712","3796.8","20240606 012000.000","20240607 194759.000","LTL-Fleet","1.4"
"3009137","AVILENO TRUCKING LLC","EWR","ONT","23","2712","3796.8","20240606 055000.000","20240608 033049.000","LTL-Fleet","1.4"
"3009010","AVILENO TRUCKING LLC","ONT","EWR","23","2712","3796.8","20240604 235435.000","20240607 043649.000","LTL-Fleet","1.4"
"3008805","AVILENO TRUCKING LLC","ONT","OSH","23","2021","3071.92","20240604 125825.000","20240606 080441.000","LTL-Fleet","1.52"
"3008802","AVILENO TRUCKING LLC","ONT","MIS","23","2606","3648.4","20240604 012817.000","20240606 040922.000","LTL-Fleet","1.4"
"3008797","AVILENO TRUCKING LLC","ONT","EWR","23","2712","3796.8","20240603 235613.000","20240606 050550.000","LTL-Fleet","1.4"
"3008796","AVILENO TRUCKING LLC","ONT","EWR","23","2712","3796.8","20240603 231553.000","20240606 004247.000","LTL-Fleet","1.4"
"3008436","AVILENO TRUCKING LLC","ATM","ONT","22","2097","2935.8","20240601 001407.000","20240602 094037.000","LTL-Fleet","1.4"
"3008412","AVILENO TRUCKING LLC","MDW-CXIT","SFO","22","2125","3145","20240601 013000.000","20240602 195020.000","LTL-Fleet","1.48"
"3009444","ARTUR EXPRESS INC","ONT","COL-USCO","23","2194","5046.2","20240607 041505.000","20240610 012419.000","LTL- 1way","2.3"
"3008572","ARTUR EXPRESS INC","ONT","BWI","22","2581","5936.3","20240601 074448.000","20240604 020725.000","LTL- 1way","2.3"
"3009566","AM EXPRESS LINE, INC","CLE-PITD","ONT","23","2290","3206","20240608 113000.000","20240610 051645.000","LTL-Fleet","1.4"
"3009559","AM EXPRESS LINE, INC","IND-DAFG","ONT","23","2031","3087.12","20240608 113300.000","20240609 192450.000","LTL-Fleet","1.52"
"3009200","AM EXPRESS LINE, INC","ONT","IND-DAFG","23","2031","3087.12","20240606 093000.000","20240608 034505.000","LTL-Fleet","1.52"
"3009090","AM EXPRESS LINE, INC","ONT","WSH-PITD","23","2348","3287.2","20240606 013500.000","20240608 023433.000","LTL-Fleet","1.4"
"3008524","AM EXPRESS LINE, INC","IND-DAFG","ONT","22","2031","3087.12","20240601 100800.000","20240603 015913.000","LTL-Fleet","1.52"
"3008508","AM EXPRESS LINE, INC","CLE-PITD","ONT","22","2290","3206","20240602 010900.000","20240605 115554.000","LTL-Fleet","1.4"
"3008542","ALPS CONSULTING & LOGISTICS","IND-PITD","DAL","22","881","1629.85","20240601 095800.000","20240602 134515.000","LTL-Fleet","1.85"
"3009867","ADSA TRUCKING INC","LAX","PDZ-DLDS","24","960","1728","20240612 001748.000","20240612 191300.000","LTL-Fleet","1.8"
"3009665","ADSA TRUCKING INC","ONT","PDZ-DLDS","23","1004","1807.2","20240609 200000.000","20240610 170427.000","LTL-Fleet","1.8"
"3008872","ADSA TRUCKING INC","LAX","PDZ-DLDS","23","960","1728","20240604 222755.000","20240605 165151.000","LTL-Fleet","1.8"
"3008656","ADSA TRUCKING INC","ONT","PDZ-DLDS","22","1004","1807.2","20240602 190000.000","20240603 174117.000","LTL-Fleet","1.8"
